RUN	parabank.LoginTest	logintest	1745973045891	 	3.3.1
USER	Login	47	START	1745973054829	1745973054829
REQUEST	45		login	1745973054529	1745973054860	OK	 
USER	Login	45	END	1745973054529	1745973054861
USER	Login	48	START	1745973054965	1745973054965
REQUEST	46		login	1745973054687	1745973055010	OK	 
USER	Login	46	END	1745973054686	1745973055011
USER	Login	49	START	1745973055109	1745973055109
REQUEST	47		login	1745973054830	1745973055190	OK	 
USER	Login	47	END	1745973054829	1745973055191
USER	Login	50	START	1745973055252	1745973055252
REQUEST	48		login	1745973054966	1745973055302	OK	 
USER	Login	48	END	1745973054965	1745973055303
USER	Login	51	START	1745973055388	1745973055388
REQUEST	49		login	1745973055109	1745973055461	OK	 
USER	Login	49	END	1745973055109	1745973055462
USER	Login	52	START	1745973055518	1745973055518
REQUEST	50		login	1745973055252	1745973055580	OK	 
USER	Login	50	END	1745973055252	1745973055581
USER	Login	53	START	1745973055658	1745973055658
REQUEST	51		login	1745973055389	1745973055730	OK	 
USER	Login	51	END	1745973055388	1745973055731
USER	Login	54	START	1745973055768	1745973055768
REQUEST	52		login	1745973055520	1745973055844	OK	 
USER	Login	52	END	1745973055518	1745973055845
USER	Login	55	START	1745973055898	1745973055898
REQUEST	53		login	1745973055659	1745973056000	OK	 
USER	Login	53	END	1745973055658	1745973056001
USER	Login	56	START	1745973056018	1745973056018
REQUEST	54		login	1745973055769	1745973056120	OK	 
USER	Login	54	END	1745973055768	1745973056122
USER	Login	57	START	1745973056156	1745973056156
REQUEST	55		login	1745973055899	1745973056240	OK	 
USER	Login	55	END	1745973055898	1745973056241
USER	Login	58	START	1745973056269	1745973056269
REQUEST	56		login	1745973056019	1745973056360	OK	 
USER	Login	56	END	1745973056018	1745973056361
USER	Login	59	START	1745973056406	1745973056406
REQUEST	57		login	1745973056157	1745973056461	OK	 
USER	Login	57	END	1745973056156	1745973056463
USER	Login	60	START	1745973056518	1745973056518
USER	Login	61	START	1745973056641	1745973056641
REQUEST	58		login	1745973056269	1745973056651	OK	 
USER	Login	58	END	1745973056269	1745973056652
USER	Login	62	START	1745973056768	1745973056768
REQUEST	59		login	1745973056406	1745973056809	OK	 
USER	Login	59	END	1745973056406	1745973056810
REQUEST	60		login	1745973056519	1745973056870	OK	 
USER	Login	60	END	1745973056518	1745973056872
USER	Login	63	START	1745973056888	1745973056888
REQUEST	61		login	1745973056641	1745973056969	OK	 
USER	Login	61	END	1745973056641	1745973056970
USER	Login	64	START	1745973057025	1745973057025
REQUEST	62		login	1745973056769	1745973057108	OK	 
USER	Login	62	END	1745973056768	1745973057109
USER	Login	65	START	1745973057146	1745973057146
REQUEST	63		login	1745973056889	1745973057246	OK	 
USER	Login	63	END	1745973056888	1745973057247
USER	Login	66	START	1745973057269	1745973057269
REQUEST	64		login	1745973057025	1745973057348	OK	 
USER	Login	64	END	1745973057025	1745973057349
USER	Login	67	START	1745973057391	1745973057391
REQUEST	65		login	1745973057146	1745973057465	OK	 
USER	Login	65	END	1745973057146	1745973057466
USER	Login	68	START	1745973057497	1745973057497
REQUEST	66		login	1745973057270	1745973057591	OK	 
USER	Login	66	END	1745973057269	1745973057592
USER	Login	69	START	1745973057605	1745973057605
USER	Login	70	START	1745973057711	1745973057711
REQUEST	67		login	1745973057392	1745973057740	OK	 
USER	Login	67	END	1745973057391	1745973057742
USER	Login	71	START	1745973057820	1745973057820
REQUEST	68		login	1745973057498	1745973057835	OK	 
USER	Login	68	END	1745973057497	1745973057836
USER	Login	72	START	1745973057928	1745973057928
REQUEST	69		login	1745973057605	1745973057950	OK	 
USER	Login	69	END	1745973057605	1745973057951
REQUEST	70		login	1745973057712	1745973058027	OK	 
USER	Login	70	END	1745973057711	1745973058028
USER	Login	73	START	1745973058038	1745973058038
USER	Login	74	START	1745973058156	1745973058156
