ASSERTION	AAIDAAEBAQAAAAAAAECfQA==
ASSERTION	AAEDAAEBAQAAAAAAAIizQA==
RUN	parabank.LoginTest	logintest	1746167524076	 	3.3.1
REQUEST	77		login	1746167525478	1746167525970	OK	 
USER	Login	18	END	1746167525369	1746167525970
USER	Login	98	END	1746167525481	1746167525971
REQUEST	38		login	1746167525472	1746167525971	OK	 
USER	Login	77	END	1746167525478	1746167525971
USER	Login	38	END	1746167525472	1746167525972
REQUEST	54		login	1746167525475	1746167525979	OK	 
USER	Login	54	END	1746167525475	1746167525980
REQUEST	14		login	1746167525457	1746167526004	OK	 
USER	Login	14	END	1746167525367	1746167526005
REQUEST	24		login	1746167525457	1746167526007	OK	 
REQUEST	3		login	1746167525457	1746167526007	OK	 
USER	Login	3	END	1746167525364	1746167526008
USER	Login	24	END	1746167525371	1746167526008
REQUEST	8		login	1746167525457	1746167526009	OK	 
REQUEST	17		login	1746167525457	1746167526009	OK	 
USER	Login	8	END	1746167525365	1746167526010
USER	Login	17	END	1746167525369	1746167526010
REQUEST	40		login	1746167525473	1746167526011	OK	 
REQUEST	42		login	1746167525473	1746167526011	OK	 
USER	Login	40	END	1746167525472	1746167526012
USER	Login	42	END	1746167525472	1746167526012
REQUEST	5		login	1746167525457	1746167526012	OK	 
USER	Login	5	END	1746167525364	1746167526014
REQUEST	36		login	1746167525471	1746167526015	OK	 
REQUEST	47		login	1746167525474	1746167526015	OK	 
USER	Login	47	END	1746167525473	1746167526016
USER	Login	36	END	1746167525471	1746167526016
REQUEST	39		login	1746167525473	1746167526052	OK	 
USER	Login	39	END	1746167525472	1746167526053
REQUEST	27		login	1746167525470	1746167526055	OK	 
USER	Login	27	END	1746167525470	1746167526056
REQUEST	88		login	1746167525480	1746167526064	OK	 
USER	Login	88	END	1746167525479	1746167526065
REQUEST	78		login	1746167525479	1746167526066	OK	 
REQUEST	48		login	1746167525474	1746167526067	OK	 
USER	Login	78	END	1746167525478	1746167526067
USER	Login	48	END	1746167525474	1746167526068
REQUEST	84		login	1746167525480	1746167526068	OK	 
USER	Login	84	END	1746167525479	1746167526069
REQUEST	10		login	1746167525457	1746167526069	OK	 
REQUEST	52		login	1746167525475	1746167526070	OK	 
USER	Login	10	END	1746167525366	1746167526071
USER	Login	52	END	1746167525474	1746167526071
REQUEST	76		login	1746167525478	1746167526093	OK	 
REQUEST	49		login	1746167525474	1746167526093	OK	 
REQUEST	34		login	1746167525472	1746167526093	OK	 
REQUEST	55		login	1746167525475	1746167526093	OK	 
REQUEST	51		login	1746167525475	1746167526093	OK	 
REQUEST	58		login	1746167525476	1746167526095	OK	 
REQUEST	91		login	1746167525480	1746167526094	OK	 
REQUEST	89		login	1746167525481	1746167526096	OK	 
REQUEST	33		login	1746167525474	1746167526096	OK	 
REQUEST	87		login	1746167525480	1746167526097	OK	 
REQUEST	92		login	1746167525480	1746167526097	OK	 
USER	Login	49	END	1746167525474	1746167526095
USER	Login	34	END	1746167525471	1746167526095
