ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.ConsultarEstadoCuentasTest	consultarestadocuentastest	1746084732075	 	3.3.1
USER	Consultar estado de cuentas	13	START	1746084733817	1746084733817
USER	Consultar estado de cuentas	9	START	1746084733816	1746084733816
USER	Consultar estado de cuentas	3	START	1746084733814	1746084733814
USER	Consultar estado de cuentas	19	START	1746084733820	1746084733820
USER	Consultar estado de cuentas	16	START	1746084733817	1746084733817
USER	Consultar estado de cuentas	11	START	1746084733816	1746084733816
USER	Consultar estado de cuentas	4	START	1746084733814	1746084733814
USER	Consultar estado de cuentas	17	START	1746084733820	1746084733820
USER	Consultar estado de cuentas	2	START	1746084733814	1746084733814
USER	Consultar estado de cuentas	12	START	1746084733817	1746084733817
USER	Consultar estado de cuentas	14	START	1746084733817	1746084733817
USER	Consultar estado de cuentas	18	START	1746084733820	1746084733820
USER	Consultar estado de cuentas	6	START	1746084733815	1746084733815
USER	Consultar estado de cuentas	20	START	1746084733821	1746084733821
USER	Consultar estado de cuentas	1	START	1746084733814	1746084733814
USER	Consultar estado de cuentas	5	START	1746084733814	1746084733814
USER	Consultar estado de cuentas	8	START	1746084733816	1746084733816
USER	Consultar estado de cuentas	15	START	1746084733817	1746084733817
USER	Consultar estado de cuentas	7	START	1746084733815	1746084733815
USER	Consultar estado de cuentas	10	START	1746084733816	1746084733816
REQUEST	2		ConsultarEstadoCuentas	1746084733924	1746084734456	OK	 
REQUEST	1		ConsultarEstadoCuentas	1746084733924	1746084734476	OK	 
REQUEST	5		ConsultarEstadoCuentas	1746084733925	1746084734470	OK	 
REQUEST	9		ConsultarEstadoCuentas	1746084733924	1746084734486	OK	 
REQUEST	12		ConsultarEstadoCuentas	1746084733924	1746084734458	OK	 
REQUEST	6		ConsultarEstadoCuentas	1746084733924	1746084734480	OK	 
REQUEST	7		ConsultarEstadoCuentas	1746084733925	1746084734445	OK	 
REQUEST	4		ConsultarEstadoCuentas	1746084733924	1746084734454	OK	 
REQUEST	8		ConsultarEstadoCuentas	1746084733924	1746084734458	OK	 
REQUEST	11		ConsultarEstadoCuentas	1746084733924	1746084734445	OK	 
REQUEST	13		ConsultarEstadoCuentas	1746084733925	1746084734467	OK	 
USER	Consultar estado de cuentas	7	END	1746084733815	1746084734513
USER	Consultar estado de cuentas	5	END	1746084733814	1746084734513
USER	Consultar estado de cuentas	4	END	1746084733814	1746084734513
USER	Consultar estado de cuentas	13	END	1746084733817	1746084734513
USER	Consultar estado de cuentas	8	END	1746084733816	1746084734513
USER	Consultar estado de cuentas	11	END	1746084733816	1746084734513
USER	Consultar estado de cuentas	12	END	1746084733817	1746084734513
USER	Consultar estado de cuentas	6	END	1746084733815	1746084734513
USER	Consultar estado de cuentas	9	END	1746084733816	1746084734514
USER	Consultar estado de cuentas	2	END	1746084733814	1746084734513
USER	Consultar estado de cuentas	1	END	1746084733814	1746084734514
REQUEST	18		ConsultarEstadoCuentas	1746084733924	1746084734517	OK	 
USER	Consultar estado de cuentas	18	END	1746084733820	1746084734518
REQUEST	16		ConsultarEstadoCuentas	1746084733924	1746084734553	OK	 
USER	Consultar estado de cuentas	16	END	1746084733817	1746084734554
REQUEST	17		ConsultarEstadoCuentas	1746084733925	1746084734559	OK	 
USER	Consultar estado de cuentas	17	END	1746084733820	1746084734561
REQUEST	3		ConsultarEstadoCuentas	1746084733924	1746084734565	OK	 
USER	Consultar estado de cuentas	3	END	1746084733814	1746084734566
REQUEST	20		ConsultarEstadoCuentas	1746084733924	1746084734567	OK	 
REQUEST	14		ConsultarEstadoCuentas	1746084733925	1746084734567	OK	 
USER	Consultar estado de cuentas	20	END	1746084733821	1746084734568
USER	Consultar estado de cuentas	14	END	1746084733817	1746084734568
REQUEST	10		ConsultarEstadoCuentas	1746084733925	1746084734569	OK	 
USER	Consultar estado de cuentas	10	END	1746084733816	1746084734570
REQUEST	15		ConsultarEstadoCuentas	1746084733925	1746084734571	OK	 
USER	Consultar estado de cuentas	15	END	1746084733817	1746084734572
REQUEST	19		ConsultarEstadoCuentas	1746084733925	1746084734575	OK	 
USER	Consultar estado de cuentas	19	END	1746084733820	1746084734576
