ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.ConsultarEstadoCuentasTest	consultarestadocuentastest	1746085301019	 	3.3.1
USER	Consultar estado de cuentas	13	START	1746085303267	1746085303267
USER	Consultar estado de cuentas	14	START	1746085303267	1746085303267
USER	Consultar estado de cuentas	12	START	1746085303264	1746085303264
USER	Consultar estado de cuentas	11	START	1746085303263	1746085303263
USER	Consultar estado de cuentas	18	START	1746085303270	1746085303270
USER	Consultar estado de cuentas	19	START	1746085303271	1746085303271
USER	Consultar estado de cuentas	9	START	1746085303262	1746085303262
USER	Consultar estado de cuentas	16	START	1746085303267	1746085303267
USER	Consultar estado de cuentas	5	START	1746085303261	1746085303261
USER	Consultar estado de cuentas	8	START	1746085303262	1746085303262
USER	Consultar estado de cuentas	10	START	1746085303262	1746085303262
USER	Consultar estado de cuentas	15	START	1746085303267	1746085303267
USER	Consultar estado de cuentas	25	START	1746085303370	1746085303370
USER	Consultar estado de cuentas	31	START	1746085303370	1746085303370
USER	Consultar estado de cuentas	29	START	1746085303370	1746085303370
USER	Consultar estado de cuentas	26	START	1746085303370	1746085303370
USER	Consultar estado de cuentas	28	START	1746085303370	1746085303370
USER	Consultar estado de cuentas	33	START	1746085303371	1746085303371
USER	Consultar estado de cuentas	32	START	1746085303371	1746085303371
USER	Consultar estado de cuentas	34	START	1746085303371	1746085303371
USER	Consultar estado de cuentas	35	START	1746085303371	1746085303371
USER	Consultar estado de cuentas	38	START	1746085303371	1746085303371
USER	Consultar estado de cuentas	39	START	1746085303371	1746085303371
USER	Consultar estado de cuentas	37	START	1746085303371	1746085303371
USER	Consultar estado de cuentas	36	START	1746085303371	1746085303371
USER	Consultar estado de cuentas	40	START	1746085303371	1746085303371
USER	Consultar estado de cuentas	42	START	1746085303371	1746085303371
USER	Consultar estado de cuentas	41	START	1746085303371	1746085303371
USER	Consultar estado de cuentas	43	START	1746085303372	1746085303372
USER	Consultar estado de cuentas	46	START	1746085303372	1746085303372
USER	Consultar estado de cuentas	45	START	1746085303372	1746085303372
USER	Consultar estado de cuentas	44	START	1746085303372	1746085303372
USER	Consultar estado de cuentas	48	START	1746085303372	1746085303372
USER	Consultar estado de cuentas	47	START	1746085303372	1746085303372
USER	Consultar estado de cuentas	49	START	1746085303372	1746085303372
USER	Consultar estado de cuentas	50	START	1746085303372	1746085303372
USER	Consultar estado de cuentas	51	START	1746085303372	1746085303372
USER	Consultar estado de cuentas	54	START	1746085303372	1746085303372
USER	Consultar estado de cuentas	52	START	1746085303372	1746085303372
USER	Consultar estado de cuentas	53	START	1746085303372	1746085303372
USER	Consultar estado de cuentas	55	START	1746085303372	1746085303372
USER	Consultar estado de cuentas	56	START	1746085303372	1746085303372
USER	Consultar estado de cuentas	57	START	1746085303372	1746085303372
USER	Consultar estado de cuentas	58	START	1746085303372	1746085303372
USER	Consultar estado de cuentas	59	START	1746085303372	1746085303372
USER	Consultar estado de cuentas	62	START	1746085303373	1746085303373
USER	Consultar estado de cuentas	63	START	1746085303373	1746085303373
USER	Consultar estado de cuentas	61	START	1746085303373	1746085303373
USER	Consultar estado de cuentas	60	START	1746085303373	1746085303373
USER	Consultar estado de cuentas	64	START	1746085303373	1746085303373
USER	Consultar estado de cuentas	65	START	1746085303373	1746085303373
USER	Consultar estado de cuentas	66	START	1746085303373	1746085303373
USER	Consultar estado de cuentas	67	START	1746085303373	1746085303373
USER	Consultar estado de cuentas	69	START	1746085303373	1746085303373
USER	Consultar estado de cuentas	68	START	1746085303373	1746085303373
USER	Consultar estado de cuentas	71	START	1746085303373	1746085303373
USER	Consultar estado de cuentas	70	START	1746085303373	1746085303373
USER	Consultar estado de cuentas	73	START	1746085303373	1746085303373
USER	Consultar estado de cuentas	72	START	1746085303373	1746085303373
USER	Consultar estado de cuentas	75	START	1746085303373	1746085303373
USER	Consultar estado de cuentas	74	START	1746085303373	1746085303373
