ASSERTION	AAICAAMBAAAAAAAAAFlA
RUN	parabank.EscalabilidadEnTransaccTest	escalabilidadentransacctest	1745973029508	 	3.3.1
REQUEST	13		EscalabilidadEnTransacc	1745973031188	1745973031614	OK	 
REQUEST	16		EscalabilidadEnTransacc	1745973031208	1745973031597	OK	 
REQUEST	6		EscalabilidadEnTransacc	1745973031144	1745973031539	OK	 
REQUEST	2		EscalabilidadEnTransacc	1745973031144	1745973031554	OK	 
REQUEST	9		EscalabilidadEnTransacc	1745973031168	1745973031539	OK	 
USER	Probar escalabilidad en transacciones	84	START	1745973031659	1745973031659
USER	Probar escalabilidad en transacciones	83	START	1745973031659	1745973031659
USER	Probar escalabilidad en transacciones	85	START	1745973031660	1745973031660
USER	Probar escalabilidad en transacciones	86	START	1745973031663	1745973031663
REQUEST	24		EscalabilidadEnTransacc	1745973031263	1745973031666	OK	 
REQUEST	28		EscalabilidadEnTransacc	1745973031279	1745973031675	OK	 
USER	Probar escalabilidad en transacciones	24	END	1745973031262	1745973031675
USER	Probar escalabilidad en transacciones	4	END	1745973031092	1745973031675
USER	Probar escalabilidad en transacciones	16	END	1745973031207	1745973031675
USER	Probar escalabilidad en transacciones	6	END	1745973031139	1745973031675
USER	Probar escalabilidad en transacciones	87	START	1745973031675	1745973031675
USER	Probar escalabilidad en transacciones	88	START	1745973031675	1745973031675
USER	Probar escalabilidad en transacciones	3	END	1745973031092	1745973031675
USER	Probar escalabilidad en transacciones	7	END	1745973031139	1745973031675
USER	Probar escalabilidad en transacciones	5	END	1745973031125	1745973031675
USER	Probar escalabilidad en transacciones	1	END	1745973031092	1745973031675
USER	Probar escalabilidad en transacciones	9	END	1745973031167	1745973031675
USER	Probar escalabilidad en transacciones	11	END	1745973031167	1745973031675
USER	Probar escalabilidad en transacciones	15	END	1745973031207	1745973031675
USER	Probar escalabilidad en transacciones	2	END	1745973031092	1745973031676
USER	Probar escalabilidad en transacciones	14	END	1745973031187	1745973031676
USER	Probar escalabilidad en transacciones	13	END	1745973031187	1745973031676
USER	Probar escalabilidad en transacciones	28	END	1745973031278	1745973031676
