ASSERTION	AAMAARNMb2dpbiAxMDAvbG9naW5fMTAwAwABAQEAAAAAAABAn0A=
ASSERTION	AAMAARNMb2dpbiAyMDAvbG9naW5fMjAwAwABAQEAAAAAAACIs0A=
RUN	parabank.LoginTest	logintest	1746084763436	 	3.3.1
USER	Carga Pico	135	START	1746084765277	1746084765277
USER	Carga Pico	136	START	1746084765277	1746084765277
USER	Carga Pico	138	START	1746084765277	1746084765277
USER	Carga Pico	137	START	1746084765277	1746084765277
USER	Carga Pico	140	START	1746084765277	1746084765277
USER	Carga Pico	141	START	1746084765277	1746084765277
USER	Carga Pico	142	START	1746084765278	1746084765278
USER	Carga Pico	144	START	1746084765278	1746084765278
USER	Carga Pico	146	START	1746084765278	1746084765278
USER	Carga Pico	143	START	1746084765278	1746084765278
USER	Carga Pico	145	START	1746084765278	1746084765278
USER	Carga Pico	147	START	1746084765278	1746084765278
USER	Carga Normal	58	START	1746084765266	1746084765266
USER	Carga Pico	148	START	1746084765278	1746084765278
USER	Carga Pico	149	START	1746084765278	1746084765278
USER	Carga Pico	152	START	1746084765278	1746084765278
USER	Carga Pico	151	START	1746084765278	1746084765278
USER	Carga Pico	153	START	1746084765278	1746084765278
USER	Carga Pico	150	START	1746084765278	1746084765278
USER	Carga Pico	154	START	1746084765279	1746084765279
USER	Carga Pico	155	START	1746084765279	1746084765279
USER	Carga Pico	157	START	1746084765279	1746084765279
USER	Carga Pico	159	START	1746084765279	1746084765279
USER	Carga Pico	158	START	1746084765279	1746084765279
USER	Carga Pico	156	START	1746084765279	1746084765279
USER	Carga Pico	161	START	1746084765279	1746084765279
USER	Carga Pico	165	START	1746084765280	1746084765280
USER	Carga Pico	163	START	1746084765280	1746084765280
USER	Carga Pico	164	START	1746084765280	1746084765280
USER	Carga Pico	162	START	1746084765280	1746084765280
USER	Carga Pico	166	START	1746084765280	1746084765280
USER	Carga Pico	167	START	1746084765280	1746084765280
USER	Carga Pico	168	START	1746084765280	1746084765280
USER	Carga Pico	169	START	1746084765280	1746084765280
USER	Carga Pico	171	START	1746084765280	1746084765280
USER	Carga Pico	139	START	1746084765277	1746084765277
USER	Carga Pico	170	START	1746084765280	1746084765280
USER	Carga Pico	175	START	1746084765281	1746084765281
USER	Carga Pico	174	START	1746084765281	1746084765281
USER	Carga Pico	173	START	1746084765281	1746084765281
USER	Carga Pico	176	START	1746084765281	1746084765281
USER	Carga Pico	172	START	1746084765281	1746084765281
USER	Carga Pico	177	START	1746084765281	1746084765281
USER	Carga Pico	179	START	1746084765281	1746084765281
USER	Carga Pico	181	START	1746084765281	1746084765281
USER	Carga Pico	183	START	1746084765282	1746084765282
USER	Carga Pico	182	START	1746084765282	1746084765282
USER	Carga Pico	180	START	1746084765281	1746084765281
USER	Carga Pico	185	START	1746084765282	1746084765282
USER	Carga Pico	186	START	1746084765282	1746084765282
USER	Carga Pico	187	START	1746084765282	1746084765282
USER	Carga Pico	184	START	1746084765282	1746084765282
USER	Carga Pico	188	START	1746084765282	1746084765282
USER	Carga Pico	190	START	1746084765283	1746084765283
USER	Carga Pico	189	START	1746084765282	1746084765282
USER	Carga Pico	191	START	1746084765283	1746084765283
USER	Carga Pico	178	START	1746084765281	1746084765281
USER	Carga Pico	192	START	1746084765283	1746084765283
USER	Carga Pico	194	START	1746084765283	1746084765283
USER	Carga Pico	193	START	1746084765283	1746084765283
USER	Carga Pico	196	START	1746084765283	1746084765283
USER	Carga Pico	197	START	1746084765283	1746084765283
USER	Carga Pico	199	START	1746084765284	1746084765284
USER	Carga Pico	200	START	1746084765284	1746084765284
USER	Carga Pico	198	START	1746084765284	1746084765284
USER	Carga Pico	202	START	1746084765284	1746084765284
USER	Carga Pico	204	START	1746084765284	1746084765284
USER	Carga Pico	203	START	1746084765284	1746084765284
USER	Carga Pico	195	START	1746084765283	1746084765283
USER	Carga Pico	205	START	1746084765284	1746084765284
USER	Carga Pico	206	START	1746084765285	1746084765285
USER	Carga Pico	207	START	1746084765285	1746084765285
USER	Carga Pico	208	START	1746084765285	1746084765285
USER	Carga Pico	209	START	1746084765285	1746084765285
USER	Carga Pico	210	START	1746084765285	1746084765285
USER	Carga Pico	211	START	1746084765285	1746084765285
USER	Carga Pico	213	START	1746084765285	1746084765285
USER	Carga Pico	212	START	1746084765285	1746084765285
USER	Carga Pico	215	START	1746084765285	1746084765285
USER	Carga Pico	214	START	1746084765285	1746084765285
USER	Carga Pico	216	START	1746084765286	1746084765286
USER	Carga Pico	218	START	1746084765286	1746084765286
USER	Carga Pico	217	START	1746084765286	1746084765286
USER	Carga Pico	219	START	1746084765286	1746084765286
USER	Carga Pico	220	START	1746084765286	1746084765286
USER	Carga Pico	223	START	1746084765286	1746084765286
USER	Carga Pico	222	START	1746084765286	1746084765286
USER	Carga Pico	224	START	1746084765287	1746084765287
USER	Carga Pico	225	START	1746084765287	1746084765287
USER	Carga Pico	226	START	1746084765287	1746084765287
USER	Carga Pico	227	START	1746084765287	1746084765287
USER	Carga Pico	229	START	1746084765287	1746084765287
USER	Carga Pico	228	START	1746084765287	1746084765287
USER	Carga Pico	221	START	1746084765286	1746084765286
USER	Carga Pico	230	START	1746084765287	1746084765287
USER	Carga Pico	231	START	1746084765287	1746084765287
USER	Carga Pico	233	START	1746084765288	1746084765288
USER	Carga Pico	232	START	1746084765288	1746084765288
USER	Carga Pico	236	START	1746084765288	1746084765288
USER	Carga Pico	235	START	1746084765288	1746084765288
USER	Carga Pico	237	START	1746084765288	1746084765288
USER	Carga Pico	240	START	1746084765289	1746084765289
USER	Carga Pico	239	START	1746084765289	1746084765289
