ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.ConsultarEstadoCuentasTest	consultarestadocuentastest	1746167491661	 	3.3.1
USER	Consultar estado de cuentas	119	START	1746167493274	1746167493274
USER	Consultar estado de cuentas	117	START	1746167493273	1746167493273
USER	Consultar estado de cuentas	114	START	1746167493273	1746167493273
USER	Consultar estado de cuentas	121	START	1746167493274	1746167493274
USER	Consultar estado de cuentas	122	START	1746167493274	1746167493274
USER	Consultar estado de cuentas	123	START	1746167493274	1746167493274
USER	Consultar estado de cuentas	120	START	1746167493274	1746167493274
USER	Consultar estado de cuentas	83	START	1746167493269	1746167493269
USER	Consultar estado de cuentas	126	START	1746167493274	1746167493274
USER	Consultar estado de cuentas	125	START	1746167493274	1746167493274
USER	Consultar estado de cuentas	124	START	1746167493274	1746167493274
USER	Consultar estado de cuentas	127	START	1746167493274	1746167493274
USER	Consultar estado de cuentas	112	START	1746167493273	1746167493273
USER	Consultar estado de cuentas	130	START	1746167493275	1746167493275
USER	Consultar estado de cuentas	131	START	1746167493275	1746167493275
USER	Consultar estado de cuentas	133	START	1746167493275	1746167493275
USER	Consultar estado de cuentas	134	START	1746167493275	1746167493275
USER	Consultar estado de cuentas	135	START	1746167493275	1746167493275
USER	Consultar estado de cuentas	128	START	1746167493275	1746167493275
USER	Consultar estado de cuentas	132	START	1746167493275	1746167493275
USER	Consultar estado de cuentas	138	START	1746167493276	1746167493276
USER	Consultar estado de cuentas	139	START	1746167493276	1746167493276
USER	Consultar estado de cuentas	140	START	1746167493276	1746167493276
USER	Consultar estado de cuentas	141	START	1746167493276	1746167493276
USER	Consultar estado de cuentas	143	START	1746167493276	1746167493276
USER	Consultar estado de cuentas	137	START	1746167493276	1746167493276
USER	Consultar estado de cuentas	146	START	1746167493277	1746167493277
USER	Consultar estado de cuentas	145	START	1746167493277	1746167493277
USER	Consultar estado de cuentas	129	START	1746167493275	1746167493275
USER	Consultar estado de cuentas	142	START	1746167493276	1746167493276
USER	Consultar estado de cuentas	148	START	1746167493277	1746167493277
USER	Consultar estado de cuentas	136	START	1746167493276	1746167493276
USER	Consultar estado de cuentas	144	START	1746167493277	1746167493277
USER	Consultar estado de cuentas	152	START	1746167493278	1746167493278
USER	Consultar estado de cuentas	153	START	1746167493278	1746167493278
USER	Consultar estado de cuentas	154	START	1746167493278	1746167493278
USER	Consultar estado de cuentas	149	START	1746167493277	1746167493277
USER	Consultar estado de cuentas	155	START	1746167493278	1746167493278
USER	Consultar estado de cuentas	157	START	1746167493278	1746167493278
